transaction_id,customer_id,amount,payment_method,location,device_type,new_device,location_change,transactions_last_hour,account_age_days,previous_fraud_count,fraud
TXN100000,CUST4044,3574.28,Wallet,Kolkata,Desktop,0,0,0,961,0,0
TXN100001,CUST1255,3446.39,UPI,Jaipur,Desktop,0,0,0,435,0,0
TXN100002,CUST3732,2328.42,Card,Kolkata,Desktop,0,0,1,735,1,0
TXN100003,CUST2748,1003.94,UPI,Jaipur,Desktop,0,0,0,184,0,0
TXN100004,CUST1029,7291.15,Card,Pune,Desktop,0,0,0,541,0,0
TXN100005,CUST3538,7961.31,NetBanking,Chennai,Mobile,0,0,2,113,0,1
TXN100006,CUST2125,7781.73,Card,Pune,Mobile,0,0,0,382,0,0
TXN100007,CUST3889,2172.55,Card,Pune,Mobile,0,0,0,525,0,0
TXN100008,CUST1472,5651.93,Card,Bangalore,Tablet,0,0,1,767,0,0
TXN100009,CUST4610,544.54,Card,Hyderabad,Mobile,0,0,0,447,0,0
TXN100010,CUST3599,4434.65,UPI,Delhi,Mobile,0,0,1,165,1,0
TXN100011,CUST3324,7322.2,Wallet,Jaipur,Mobile,0,0,0,388,0,0
TXN100012,CUST2067,2305.62,UPI,Pune,Mobile,0,0,2,269,0,1
TXN100013,CUST2124,25456.41,UPI,Delhi,Desktop,0,0,0,635,1,1
TXN100014,CUST4811,3064.68,Card,Mumbai,Mobile,1,0,2,537,0,0
TXN100015,CUST4088,12294.63,Card,Delhi,Desktop,0,0,4,121,0,0
TXN100016,CUST3397,17084.38,Card,Bangalore,Desktop,0,0,1,338,1,0
TXN100017,CUST3710,3450.97,Card,Delhi,Mobile,0,1,0,826,0,0
TXN100018,CUST4710,2539.09,Card,Chennai,Mobile,0,0,0,116,0,0
TXN100019,CUST2676,28696.46,Card,Kolkata,Tablet,0,1,2,461,0,0
TXN100020,CUST3424,41445.98,UPI,Pune,Desktop,1,1,2,159,0,0
TXN100021,CUST3984,88927.25,Card,Jaipur,Desktop,0,0,0,97,0,0
TXN100022,CUST1614,2801.78,Card,Chennai,Mobile,1,1,1,28,0,1
TXN100023,CUST4404,3271.44,NetBanking,Pune,Mobile,0,0,1,88,0,0
TXN100024,CUST1207,534.3,NetBanking,Delhi,Tablet,0,0,0,297,0,0
TXN100025,CUST3056,216.3,UPI,Bangalore,Desktop,0,0,1,903,0,0
TXN100026,CUST2465,3403.44,Card,Chennai,Mobile,0,0,0,360,0,0
